Eps,Min Samples,Number Of Clusters Found,Error,Yaw,Car 1 Velocity,Predicted Location,Car 2 Velocity
0.1,1,49,0.084,270,0.616,"[25.047, -15.069]",0.0
0.1,2,30,0.908,270,0.616,"[25.351, -15.838]",0.0
0.1,3,29,0.908,270,0.616,"[25.351, -15.838]",0.0
0.1,4,29,0.891,270,0.616,"[25.335, -15.826]",0.0
0.1,5,23,0.916,270,0.616,"[25.359, -15.843]",0.0
0.1,6,21,0.96,270,0.616,"[25.159, -14.053]",0.0
0.2,1,16,0.26,270,0.616,"[24.921, -15.248]",0.0
0.2,2,13,0.26,270,0.616,"[24.921, -15.248]",0.0
0.2,3,12,0.26,270,0.616,"[24.922, -15.248]",0.0
0.2,4,11,0.908,270,0.616,"[25.351, -15.838]",0.0
0.2,5,10,0.908,270,0.616,"[25.351, -15.838]",0.0
0.3,1,7,0.26,270,0.616,"[24.921, -15.248]",0.0
0.3,2,7,0.26,270,0.616,"[24.921, -15.248]",0.0
0.3,3,7,0.26,270,0.616,"[24.922, -15.248]",0.0
0.3,4,6,0.908,270,0.616,"[25.351, -15.838]",0.0
0.3,5,6,0.908,270,0.616,"[25.351, -15.838]",0.0
0.4,1,2,0.361,270,0.616,"[24.86, -15.333]",0.0
0.4,2,2,0.361,270,0.616,"[24.86, -15.333]",0.0
0.4,3,2,0.26,270,0.616,"[24.921, -15.248]",0.0
0.4,4,2,0.33,270,0.616,"[24.88, -15.307]",0.0
0.5,1,2,0.361,270,0.616,"[24.86, -15.333]",0.0
0.5,2,2,0.361,270,0.616,"[24.86, -15.333]",0.0
0.5,3,2,0.361,270,0.616,"[24.86, -15.333]",0.0
0.5,4,2,0.26,270,0.616,"[24.921, -15.248]",0.0
0.5,5,2,0.407,270,0.616,"[24.834, -15.372]",0.0
0.6,5,2,0.407,270,0.616,"[24.834, -15.372]",0.0
0.1,1,39,0.073,180,0.616,"[25.054, -15.049]",0.0
0.1,2,30,0.499,180,0.616,"[25.336, -14.631]",0.0
0.1,3,18,0.762,180,0.616,"[25.471, -14.401]",0.0
0.1,4,18,0.762,180,0.616,"[25.471, -14.401]",0.0
0.1,5,15,0.762,180,0.616,"[25.471, -14.401]",0.0
0.1,6,15,0.762,180,0.616,"[25.471, -14.401]",0.0
0.1,7,15,0.762,180,0.616,"[25.471, -14.401]",0.0
0.1,8,15,0.76,180,0.616,"[25.464, -14.398]",0.0
0.1,9,12,0.76,180,0.616,"[25.464, -14.398]",0.0
0.2,1,33,0.073,180,0.616,"[25.054, -15.049]",0.0
0.2,2,26,0.499,180,0.616,"[25.336, -14.631]",0.0
0.2,3,18,0.762,180,0.616,"[25.471, -14.401]",0.0
0.2,4,18,0.762,180,0.616,"[25.471, -14.401]",0.0
0.2,5,17,0.762,180,0.616,"[25.471, -14.401]",0.0
0.2,6,15,0.762,180,0.616,"[25.471, -14.401]",0.0
0.2,7,15,0.762,180,0.616,"[25.471, -14.401]",0.0
0.2,8,15,0.762,180,0.616,"[25.471, -14.401]",0.0
0.2,9,15,0.762,180,0.616,"[25.471, -14.401]",0.0
0.3,1,7,0.808,180,0.616,"[24.593, -15.697]",0.0
0.3,2,7,0.871,180,0.616,"[25.7, -15.519]",0.0
0.3,3,7,0.871,180,0.616,"[25.7, -15.519]",0.0
0.3,4,7,0.871,180,0.616,"[25.7, -15.519]",0.0
0.3,5,7,0.871,180,0.616,"[25.7, -15.519]",0.0
0.3,6,7,0.871,180,0.616,"[25.7, -15.519]",0.0
0.3,7,7,0.871,180,0.616,"[25.7, -15.519]",0.0
0.3,8,7,0.871,180,0.616,"[25.7, -15.519]",0.0
0.3,9,7,0.871,180,0.616,"[25.7, -15.519]",0.0
0.4,1,4,0.808,180,0.616,"[24.593, -15.697]",0.0
0.4,2,4,0.871,180,0.616,"[25.7, -15.519]",0.0
0.4,3,4,0.871,180,0.616,"[25.7, -15.519]",0.0
0.4,4,4,0.871,180,0.616,"[25.7, -15.519]",0.0
0.4,5,4,0.871,180,0.616,"[25.7, -15.519]",0.0
0.4,6,4,0.871,180,0.616,"[25.7, -15.519]",0.0
0.4,7,4,0.871,180,0.616,"[25.7, -15.519]",0.0
0.4,8,4,0.871,180,0.616,"[25.7, -15.519]",0.0
0.4,9,4,0.871,180,0.616,"[25.7, -15.519]",0.0
0.5,1,2,0.808,180,0.616,"[24.593, -15.697]",0.0
0.5,2,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.5,3,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.5,4,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.5,5,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.5,6,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.5,7,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.5,8,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.5,9,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.6,1,2,0.808,180,0.616,"[24.593, -15.697]",0.0
0.6,2,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.6,3,2,0.871,180,0.616,"[25.7, -15.519]",0.0
0.6,4,2,0.871,180,0.616,"[25.7, -15.519]",0.0
